Time Step,Ratio
12.05,0.551522139
12.06,0.551450285
12.07,0.551378606
12.08,0.551307101
12.09,0.55123577
12.1,0.551164612
12.11,0.551093627
12.12,0.551022815
12.13,0.550952174
12.14,0.550881704
12.15,0.550811406
12.16,0.550741278
12.17,0.55067132
12.18,0.550601531
12.19,0.550531912
12.2,0.550462462
12.21,0.550393179
12.22,0.550324065
12.23,0.550255117
12.24,0.550186337
12.25,0.550117723
12.26,0.550049275
12.27,0.549980992
12.28,0.549912875
12.29,0.549844922
12.3,0.549777134
12.31,0.549709509
12.32,0.549642047
12.33,0.549574749
12.34,0.549507613
12.35,0.549440639
12.36,0.549373826
12.37,0.549307175
12.38,0.549240685
12.39,0.549174354
12.4,0.549108184
12.41,0.549042173
12.42,0.548976321
12.43,0.548910628
12.44,0.548845093
12.45,0.548779716
12.46,0.548714496
12.47,0.548649433
12.48,0.548584526
12.49,0.548519776
12.5,0.548455181
12.51,0.548390742
12.52,0.548326457
12.53,0.548262327
12.54,0.548198351
12.55,0.548134529
12.56,0.54807086
12.57,0.548007344
12.58,0.54794398
12.59,0.547880768
12.6,0.547817708
12.61,0.547754799
12.62,0.547692041
12.63,0.547629433
12.64,0.547566976
12.65,0.547504668
12.66,0.547442509
12.67,0.547380499
12.68,0.547318638
12.69,0.547256924
12.7,0.547195359
12.71,0.54713394
12.72,0.547072669
12.73,0.547011544
12.74,0.546950565
12.75,0.546889732
12.76,0.546829044
12.77,0.546768502
12.78,0.546708104
12.79,0.54664785
12.8,0.54658774
12.81,0.546527774
12.82,0.54646795
12.83,0.54640827
12.84,0.546348732
12.85,0.546289335
12.86,0.546230081
12.87,0.546170968
12.88,0.546111995
12.89,0.546053163
12.9,0.545994471
12.91,0.54593592
12.92,0.545877507
12.93,0.545819234
12.94,0.545761099
12.95,0.545703102
12.96,0.545645244
12.97,0.545587523
12.98,0.545529939
12.99,0.545472493
13,0.545415183
13.01,0.545358009
13.02,0.545300971
13.03,0.545244068
13.04,0.545187301
13.05,0.545130668
13.06,0.54507417
13.07,0.545017806
13.08,0.544961576
13.09,0.544905479
13.1,0.544849515
13.11,0.544793684
13.12,0.544737985
13.13,0.544682418
13.14,0.544626983
13.15,0.54457168
13.16,0.544516507
13.17,0.544461465
13.18,0.544406553
13.19,0.544351772
13.2,0.54429712
13.21,0.544242597
13.22,0.544188203
13.23,0.544133938
13.24,0.544079802
13.25,0.544025793
13.26,0.543971912
13.27,0.543918159
13.28,0.543864532
13.29,0.543811032
13.3,0.543757659
13.31,0.543704411
13.32,0.54365129
13.33,0.543598293
13.34,0.543545422
13.35,0.543492676
13.36,0.543440054
13.37,0.543387556
13.38,0.543335182
13.39,0.543282931
13.4,0.543230804
13.41,0.543178799
13.42,0.543126917
13.43,0.543075158
13.44,0.54302352
13.45,0.542972004
13.46,0.542920609
13.47,0.542869335
13.48,0.542818182
13.49,0.542767149
13.5,0.542716236
13.51,0.542665443
13.52,0.542614769
13.53,0.542564215
13.54,0.542513779
13.55,0.542463463
13.56,0.542413264
13.57,0.542363183
13.58,0.54231322
13.59,0.542263374
13.6,0.542213645
13.61,0.542164033
13.62,0.542114538
13.63,0.542065159
13.64,0.542015895
13.65,0.541966747
13.66,0.541917715
13.67,0.541868797
13.68,0.541819994
13.69,0.541771306
13.7,0.541722731
13.71,0.541674271
13.72,0.541625924
13.73,0.54157769
13.74,0.541529569
13.75,0.541481561
13.76,0.541433666
13.77,0.541385882
13.78,0.541338211
13.79,0.54129065
13.8,0.541243202
13.81,0.541195864
13.82,0.541148637
13.83,0.54110152
13.84,0.541054513
13.85,0.541007617
13.86,0.54096083
13.87,0.540914152
13.88,0.540867583
13.89,0.540821123
13.9,0.540774772
13.91,0.540728529
13.92,0.540682393
13.93,0.540636366
13.94,0.540590446
13.95,0.540544633
13.96,0.540498927
13.97,0.540453327
13.98,0.540407834
13.99,0.540362447
